,NameLength,HasSubtitle,DescripLength,iap_none,iap_1.99,iap_0.99,iap_29.99,lang_ja,lang_gu,genr_entertainment,genr_casual,genr_simulation,User Rating Count,Size,Target
32,12.0,0.0,1079.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,156.0,1751040.0,0.0
33,18.0,1.0,1432.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3062.0,7517184.0,0.0
34,5.0,0.0,824.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2425.0,9641984.0,0.0
35,12.0,0.0,1563.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,518.0,15837184.0,0.0
36,19.0,1.0,1494.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5488.0,5874688.0,0.0
37,20.0,0.0,1009.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3521.0,9402423.0,0.0
38,10.0,0.0,875.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,273687.0,7774384.0,0.0
39,23.0,0.0,1482.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,12423168.0,0.0
40,20.0,0.0,1511.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5931.0,7705600.0,0.0
41,10.0,0.0,1258.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2798.0,15547392.0,0.0
42,25.0,0.0,638.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,3940352.0,0.0
43,16.0,0.0,1426.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,99019776.0,0.0
44,11.0,0.0,761.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,75.0,5731328.0,0.0
45,29.0,1.0,1612.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5629.0,93993984.0,0.0
46,13.0,0.0,710.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2482.0,14894080.0,0.0
47,10.0,0.0,587.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77.0,5044648.0,0.0
